Country,Quality Score,SDGi,Life Exectancy,HDI,Per Capita GDP,Region,Income Group,Population (millions),footprint_production,footprint_consumption,Total biocapacity ,Ecological (Deficit) or Reserve,num_earths,Number of Countries required,official_overshoot_day,overshoot_day_consumption,difference
Saint Vincent and Grenadines,1B,,70,0.75,"$13,280",Central America/Caribbean,UM,0.1,0.881463156,1.81483381,1.155476716,-0.7,1.2,1.6,2024-10-30,2024-10-30,0.0
Samoa,2B,0,73,0.71,"$5,084",Asia-Pacific,LM,0.2,1.620695813,2.483752448,1.662282108,-0.8,1.6,1.5,2024-08-09,2024-08-09,0.0
Sao Tome and Principe,2B,59.4,68,0.62,"$4,010",Africa,LM,0.2,1.000421552,1.05186977,0.700090513,-0.4,0.7,1.5,,2025-06-08,
Saudi Arabia,3A,66.6,77,0.88,"$47,423",Middle East/Central Asia,HI,35.8,5.497153556,5.745479868,0.697532479,-5.0,3.8,8.2,2024-04-05,2024-04-05,0.0
Senegal,2A,58.7,67,0.51,"$3,505",Africa,LM,17.7,1.219712721,1.219523977,1.000162642,-0.2,0.8,1.2,,2025-03-28,
Serbia,3A,75.9,73,0.8,"$20,474",Other Europe,UM,8.7,4.20570534,3.830578695,2.054991936,-1.8,2.5,1.9,2024-05-23,2024-05-23,0.0
Sierra Leone,3A,53,60,0.48,"$1,677",Africa,LI,8.3,0.923238921,1.046275966,0.921573084,-0.1,0.7,1.1,,2025-06-11,
Singapore,3B,71.7,83,0.94,"$112,699",Asia-Pacific,HI,5.9,3.028322973,5.738031039,0.104126803,-5.6,3.8,55.1,2024-04-06,2024-04-05,-1.0
Slovakia,3A,78.7,75,0.85,"$33,079",EU-27,HI,5.5,4.104713332,4.158978975,2.665671799,-1.5,2.8,1.6,2024-05-12,2024-05-11,-1.0
Slovenia,3A,,81,0.92,"$41,570",EU-27,HI,2.1,3.73243504,4.781998935,2.485838691,-2.3,3.2,1.9,2024-04-25,2024-04-24,-1.0
Solomon Islands,2B,0,70,0.56,"$2,043",Asia-Pacific,LI,0.7,5.840457003,1.664943989,3.324442199,1.7,1.1,0.5,2024-11-27,2024-11-26,-1.0
Somalia,3A,45.6,55, ,"$1,132",Africa,LI,16.8,0.772068046,0.891389514,0.712411364,-0.2,0.6,1.3,,2025-09-10,
South Africa,3A,63.7,62,0.71,"$13,157",Africa,UM,60.8,3.38599026,3.212886552,1.275586245,-1.9,2.1,2.5,2024-06-20,2024-06-20,0.0
South Sudan,3A,39,55,0.39,$794,Africa,LM,11.6,1.635132965,1.669043983,1.782236013,0.1,1.1,0.9,2024-11-26,2024-11-26,0.0
Spain,3A,79.9,83,0.91,"$39,753",EU-27,HI,46.7,3.552470571,3.915566345,1.72215542,-2.2,2.6,2.3,2024-05-20,2024-05-20,0.0
Sudan,3A,49.6,65,0.51,"$3,804",Africa,LM,46,1.186210736,1.141855742,1.131661469,0.0,0.8,1.0,,2025-04-28,
Suriname,2A,71.6,70,0.73,"$14,818",South America,UM,0.6,2.945785365,3.139095257,74.83845211,71.7,2.1,0.0,2024-06-24,2024-06-24,0.0
Sweden,3A,85.2,83,0.95,"$53,897",EU-27,HI,10.2,7.00605963,4.937928147,8.51950749,3.6,3.3,0.6,2024-04-21,2024-04-20,-1.0
